root,guest_guess,size,mode,path
Assets/SpriteLibrary,Guest02_ButlerGuest,166x297,RGBA,Assets/SpriteLibrary/Characters/Guest02_ButlerGuest/PanicFrames/ReferenceLockedOrGuestReference/ButlerGuest_reference_locked_panic_08_run_start_166x297.png
Assets/SpriteLibrary,Guest03_MisterFlorianKnell,676x590,RGBA,Assets/SpriteLibrary/Characters/Guest03_MisterFlorianKnell/ContactSheets/Guest03_MisterFlorianKnell_central_panic_frames.png
Assets/SpriteLibrary,Guest03_MisterFlorianKnell,724x678,RGBA,Assets/SpriteLibrary/Characters/Guest03_MisterFlorianKnell/ContactSheets/MisterFlorianKnell_reference_locked_panic_166x297_contact_sheet.png
Assets/SpriteLibrary,Guest03_MisterFlorianKnell,166x297,RGBA,Assets/SpriteLibrary/Characters/Guest03_MisterFlorianKnell/PanicFrames/ReferenceLockedOrGuestReference/MisterFlorianKnell_reference_locked_panic_01_startled_recoil_166x297.png
Assets/SpriteLibrary,Guest03_MisterFlorianKnell,166x297,RGBA,Assets/SpriteLibrary/Characters/Guest03_MisterFlorianKnell/PanicFrames/ReferenceLockedOrGuestReference/MisterFlorianKnell_reference_locked_panic_02_hands_near_face_166x297.png
Assets/SpriteLibrary,Guest03_MisterFlorianKnell,166x297,RGBA,Assets/SpriteLibrary/Characters/Guest03_MisterFlorianKnell/PanicFrames/ReferenceLockedOrGuestReference/MisterFlorianKnell_reference_locked_panic_03_cover_face_cower_166x297.png
Assets/SpriteLibrary,Guest03_MisterFlorianKnell,166x297,RGBA,Assets/SpriteLibrary/Characters/Guest03_MisterFlorianKnell/PanicFrames/ReferenceLockedOrGuestReference/MisterFlorianKnell_reference_locked_panic_04_braced_defensive_166x297.png
Assets/SpriteLibrary,Guest03_MisterFlorianKnell,166x297,RGBA,Assets/SpriteLibrary/Characters/Guest03_MisterFlorianKnell/PanicFrames/ReferenceLockedOrGuestReference/MisterFlorianKnell_reference_locked_panic_05_run_left_166x297.png
Assets/SpriteLibrary,Guest03_MisterFlorianKnell,166x297,RGBA,Assets/SpriteLibrary/Characters/Guest03_MisterFlorianKnell/PanicFrames/ReferenceLockedOrGuestReference/MisterFlorianKnell_reference_locked_panic_06_run_right_166x297.png
Assets/SpriteLibrary,Guest03_MisterFlorianKnell,166x297,RGBA,Assets/SpriteLibrary/Characters/Guest03_MisterFlorianKnell/PanicFrames/ReferenceLockedOrGuestReference/MisterFlorianKnell_reference_locked_panic_07_turnaround_166x297.png
Assets/SpriteLibrary,Guest03_MisterFlorianKnell,166x297,RGBA,Assets/SpriteLibrary/Characters/Guest03_MisterFlorianKnell/PanicFrames/ReferenceLockedOrGuestReference/MisterFlorianKnell_reference_locked_panic_08_run_start_166x297.png
Assets/SpriteLibrary,Guest04_CountessElowenDusk,724x678,RGBA,Assets/SpriteLibrary/Characters/Guest04_CountessElowenDusk/ContactSheets/CountessElowenDusk_reference_locked_panic_166x297_contact_sheet.png
Assets/SpriteLibrary,Guest04_CountessElowenDusk,676x590,RGBA,Assets/SpriteLibrary/Characters/Guest04_CountessElowenDusk/ContactSheets/Guest04_CountessElowenDusk_central_panic_frames.png
Assets/SpriteLibrary,Guest04_CountessElowenDusk,166x297,RGBA,Assets/SpriteLibrary/Characters/Guest04_CountessElowenDusk/PanicFrames/ReferenceLockedOrGuestReference/CountessElowenDusk_reference_locked_panic_01_startled_recoil_166x297.png
Assets/SpriteLibrary,Guest04_CountessElowenDusk,166x297,RGBA,Assets/SpriteLibrary/Characters/Guest04_CountessElowenDusk/PanicFrames/ReferenceLockedOrGuestReference/CountessElowenDusk_reference_locked_panic_02_hands_near_face_166x297.png
Assets/SpriteLibrary,Guest04_CountessElowenDusk,166x297,RGBA,Assets/SpriteLibrary/Characters/Guest04_CountessElowenDusk/PanicFrames/ReferenceLockedOrGuestReference/CountessElowenDusk_reference_locked_panic_03_cover_face_cower_166x297.png
Assets/SpriteLibrary,Guest04_CountessElowenDusk,166x297,RGBA,Assets/SpriteLibrary/Characters/Guest04_CountessElowenDusk/PanicFrames/ReferenceLockedOrGuestReference/CountessElowenDusk_reference_locked_panic_04_braced_defensive_166x297.png
Assets/SpriteLibrary,Guest04_CountessElowenDusk,166x297,RGBA,Assets/SpriteLibrary/Characters/Guest04_CountessElowenDusk/PanicFrames/ReferenceLockedOrGuestReference/CountessElowenDusk_reference_locked_panic_05_run_left_166x297.png
Assets/SpriteLibrary,Guest04_CountessElowenDusk,166x297,RGBA,Assets/SpriteLibrary/Characters/Guest04_CountessElowenDusk/PanicFrames/ReferenceLockedOrGuestReference/CountessElowenDusk_reference_locked_panic_06_run_right_166x297.png
Assets/SpriteLibrary,Guest04_CountessElowenDusk,166x297,RGBA,Assets/SpriteLibrary/Characters/Guest04_CountessElowenDusk/PanicFrames/ReferenceLockedOrGuestReference/CountessElowenDusk_reference_locked_panic_07_turnaround_166x297.png
Assets/SpriteLibrary,Guest04_CountessElowenDusk,166x297,RGBA,Assets/SpriteLibrary/Characters/Guest04_CountessElowenDusk/PanicFrames/ReferenceLockedOrGuestReference/CountessElowenDusk_reference_locked_panic_08_run_start_166x297.png
Assets/SpriteLibrary,Guest05_BaronHectorGlass,724x678,RGBA,Assets/SpriteLibrary/Characters/Guest05_BaronHectorGlass/ContactSheets/BaronHectorGlass_reference_locked_panic_166x297_contact_sheet.png
Assets/SpriteLibrary,Guest05_BaronHectorGlass,676x590,RGBA,Assets/SpriteLibrary/Characters/Guest05_BaronHectorGlass/ContactSheets/Guest05_BaronHectorGlass_central_panic_frames.png
Assets/SpriteLibrary,Guest05_BaronHectorGlass,166x297,RGBA,Assets/SpriteLibrary/Characters/Guest05_BaronHectorGlass/PanicFrames/ReferenceLockedOrGuestReference/BaronHectorGlass_reference_locked_panic_01_startled_recoil_166x297.png
Assets/SpriteLibrary,Guest05_BaronHectorGlass,166x297,RGBA,Assets/SpriteLibrary/Characters/Guest05_BaronHectorGlass/PanicFrames/ReferenceLockedOrGuestReference/BaronHectorGlass_reference_locked_panic_02_hands_near_face_166x297.png
Assets/SpriteLibrary,Guest05_BaronHectorGlass,166x297,RGBA,Assets/SpriteLibrary/Characters/Guest05_BaronHectorGlass/PanicFrames/ReferenceLockedOrGuestReference/BaronHectorGlass_reference_locked_panic_03_cover_face_cower_166x297.png
Assets/SpriteLibrary,Guest05_BaronHectorGlass,166x297,RGBA,Assets/SpriteLibrary/Characters/Guest05_BaronHectorGlass/PanicFrames/ReferenceLockedOrGuestReference/BaronHectorGlass_reference_locked_panic_04_braced_defensive_166x297.png
Assets/SpriteLibrary,Guest05_BaronHectorGlass,166x297,RGBA,Assets/SpriteLibrary/Characters/Guest05_BaronHectorGlass/PanicFrames/ReferenceLockedOrGuestReference/BaronHectorGlass_reference_locked_panic_05_run_left_166x297.png
Assets/SpriteLibrary,Guest05_BaronHectorGlass,166x297,RGBA,Assets/SpriteLibrary/Characters/Guest05_BaronHectorGlass/PanicFrames/ReferenceLockedOrGuestReference/BaronHectorGlass_reference_locked_panic_06_run_right_166x297.png
Assets/SpriteLibrary,Guest05_BaronHectorGlass,166x297,RGBA,Assets/SpriteLibrary/Characters/Guest05_BaronHectorGlass/PanicFrames/ReferenceLockedOrGuestReference/BaronHectorGlass_reference_locked_panic_07_turnaround_166x297.png
Assets/SpriteLibrary,Guest05_BaronHectorGlass,166x297,RGBA,Assets/SpriteLibrary/Characters/Guest05_BaronHectorGlass/PanicFrames/ReferenceLockedOrGuestReference/BaronHectorGlass_reference_locked_panic_08_run_start_166x297.png
Assets/SpriteLibrary,Guest01_Lady,676x590,RGBA,Assets/SpriteLibrary/Characters/Guest06_LadySabineMarrow/ContactSheets/Guest06_LadySabineMarrow_central_panic_frames.png
Assets/SpriteLibrary,Guest01_Lady,724x678,RGBA,Assets/SpriteLibrary/Characters/Guest06_LadySabineMarrow/ContactSheets/LadySabineMarrow_reference_locked_panic_166x297_contact_sheet.png
Assets/SpriteLibrary,Guest01_Lady,166x297,RGBA,Assets/SpriteLibrary/Characters/Guest06_LadySabineMarrow/PanicFrames/ReferenceLockedOrGuestReference/LadySabineMarrow_reference_locked_panic_01_startled_recoil_166x297.png
Assets/SpriteLibrary,Guest01_Lady,166x297,RGBA,Assets/SpriteLibrary/Characters/Guest06_LadySabineMarrow/PanicFrames/ReferenceLockedOrGuestReference/LadySabineMarrow_reference_locked_panic_02_hands_near_face_166x297.png
Assets/SpriteLibrary,Guest01_Lady,166x297,RGBA,Assets/SpriteLibrary/Characters/Guest06_LadySabineMarrow/PanicFrames/ReferenceLockedOrGuestReference/LadySabineMarrow_reference_locked_panic_03_cover_face_cower_166x297.png
Assets/SpriteLibrary,Guest01_Lady,166x297,RGBA,Assets/SpriteLibrary/Characters/Guest06_LadySabineMarrow/PanicFrames/ReferenceLockedOrGuestReference/LadySabineMarrow_reference_locked_panic_04_braced_defensive_166x297.png
Assets/SpriteLibrary,Guest01_Lady,166x297,RGBA,Assets/SpriteLibrary/Characters/Guest06_LadySabineMarrow/PanicFrames/ReferenceLockedOrGuestReference/LadySabineMarrow_reference_locked_panic_05_run_left_166x297.png
Assets/SpriteLibrary,Guest01_Lady,166x297,RGBA,Assets/SpriteLibrary/Characters/Guest06_LadySabineMarrow/PanicFrames/ReferenceLockedOrGuestReference/LadySabineMarrow_reference_locked_panic_06_run_right_166x297.png
Assets/SpriteLibrary,Guest01_Lady,166x297,RGBA,Assets/SpriteLibrary/Characters/Guest06_LadySabineMarrow/PanicFrames/ReferenceLockedOrGuestReference/LadySabineMarrow_reference_locked_panic_07_turnaround_166x297.png
Assets/SpriteLibrary,Guest01_Lady,166x297,RGBA,Assets/SpriteLibrary/Characters/Guest06_LadySabineMarrow/PanicFrames/ReferenceLockedOrGuestReference/LadySabineMarrow_reference_locked_panic_08_run_start_166x297.png
Assets/SpriteLibrary,Guest07_LordAmbroseVeil,676x590,RGBA,Assets/SpriteLibrary/Characters/Guest07_LordAmbroseVeil/ContactSheets/Guest07_LordAmbroseVeil_central_panic_frames.png
Assets/SpriteLibrary,Guest07_LordAmbroseVeil,724x678,RGBA,Assets/SpriteLibrary/Characters/Guest07_LordAmbroseVeil/ContactSheets/LordAmbroseVeil_reference_locked_panic_166x297_contact_sheet.png
Assets/SpriteLibrary,Guest07_LordAmbroseVeil,166x297,RGBA,Assets/SpriteLibrary/Characters/Guest07_LordAmbroseVeil/PanicFrames/ReferenceLockedOrGuestReference/LordAmbroseVeil_reference_locked_panic_01_startled_recoil_166x297.png
Assets/SpriteLibrary,Guest07_LordAmbroseVeil,166x297,RGBA,Assets/SpriteLibrary/Characters/Guest07_LordAmbroseVeil/PanicFrames/ReferenceLockedOrGuestReference/LordAmbroseVeil_reference_locked_panic_02_hands_near_face_166x297.png
Assets/SpriteLibrary,Guest07_LordAmbroseVeil,166x297,RGBA,Assets/SpriteLibrary/Characters/Guest07_LordAmbroseVeil/PanicFrames/ReferenceLockedOrGuestReference/LordAmbroseVeil_reference_locked_panic_03_cover_face_cower_166x297.png
Assets/SpriteLibrary,Guest07_LordAmbroseVeil,166x297,RGBA,Assets/SpriteLibrary/Characters/Guest07_LordAmbroseVeil/PanicFrames/ReferenceLockedOrGuestReference/LordAmbroseVeil_reference_locked_panic_04_braced_defensive_166x297.png
Assets/SpriteLibrary,Guest07_LordAmbroseVeil,166x297,RGBA,Assets/SpriteLibrary/Characters/Guest07_LordAmbroseVeil/PanicFrames/ReferenceLockedOrGuestReference/LordAmbroseVeil_reference_locked_panic_05_run_left_166x297.png
Assets/SpriteLibrary,Guest07_LordAmbroseVeil,166x297,RGBA,Assets/SpriteLibrary/Characters/Guest07_LordAmbroseVeil/PanicFrames/ReferenceLockedOrGuestReference/LordAmbroseVeil_reference_locked_panic_06_run_right_166x297.png
Assets/SpriteLibrary,Guest07_LordAmbroseVeil,166x297,RGBA,Assets/SpriteLibrary/Characters/Guest07_LordAmbroseVeil/PanicFrames/ReferenceLockedOrGuestReference/LordAmbroseVeil_reference_locked_panic_07_turnaround_166x297.png
Assets/SpriteLibrary,Guest07_LordAmbroseVeil,166x297,RGBA,Assets/SpriteLibrary/Characters/Guest07_LordAmbroseVeil/PanicFrames/ReferenceLockedOrGuestReference/LordAmbroseVeil_reference_locked_panic_08_run_start_166x297.png
Assets/SpriteLibrary,Guest08_MadameCoralieThread,676x590,RGBA,Assets/SpriteLibrary/Characters/Guest08_MadameCoralieThread/ContactSheets/Guest08_MadameCoralieThread_central_panic_frames.png
Assets/SpriteLibrary,Guest08_MadameCoralieThread,724x678,RGBA,Assets/SpriteLibrary/Characters/Guest08_MadameCoralieThread/ContactSheets/MadameCoralieThread_reference_locked_panic_166x297_contact_sheet.png
Assets/SpriteLibrary,Guest08_MadameCoralieThread,166x297,RGBA,Assets/SpriteLibrary/Characters/Guest08_MadameCoralieThread/PanicFrames/ReferenceLockedOrGuestReference/MadameCoralieThread_reference_locked_panic_01_startled_recoil_166x297.png
Assets/SpriteLibrary,Guest08_MadameCoralieThread,166x297,RGBA,Assets/SpriteLibrary/Characters/Guest08_MadameCoralieThread/PanicFrames/ReferenceLockedOrGuestReference/MadameCoralieThread_reference_locked_panic_02_hands_near_face_166x297.png
Assets/SpriteLibrary,Guest08_MadameCoralieThread,166x297,RGBA,Assets/SpriteLibrary/Characters/Guest08_MadameCoralieThread/PanicFrames/ReferenceLockedOrGuestReference/MadameCoralieThread_reference_locked_panic_03_cover_face_cower_166x297.png
Assets/SpriteLibrary,Guest08_MadameCoralieThread,166x297,RGBA,Assets/SpriteLibrary/Characters/Guest08_MadameCoralieThread/PanicFrames/ReferenceLockedOrGuestReference/MadameCoralieThread_reference_locked_panic_04_braced_defensive_166x297.png
Assets/SpriteLibrary,Guest08_MadameCoralieThread,166x297,RGBA,Assets/SpriteLibrary/Characters/Guest08_MadameCoralieThread/PanicFrames/ReferenceLockedOrGuestReference/MadameCoralieThread_reference_locked_panic_05_run_left_166x297.png
Assets/SpriteLibrary,Guest08_MadameCoralieThread,166x297,RGBA,Assets/SpriteLibrary/Characters/Guest08_MadameCoralieThread/PanicFrames/ReferenceLockedOrGuestReference/MadameCoralieThread_reference_locked_panic_06_run_right_166x297.png
Assets/SpriteLibrary,Guest08_MadameCoralieThread,166x297,RGBA,Assets/SpriteLibrary/Characters/Guest08_MadameCoralieThread/PanicFrames/ReferenceLockedOrGuestReference/MadameCoralieThread_reference_locked_panic_07_turnaround_166x297.png
Assets/SpriteLibrary,Guest08_MadameCoralieThread,166x297,RGBA,Assets/SpriteLibrary/Characters/Guest08_MadameCoralieThread/PanicFrames/ReferenceLockedOrGuestReference/MadameCoralieThread_reference_locked_panic_08_run_start_166x297.png
Assets/SpriteLibrary,Guest09_MissIsoldeWren,676x590,RGBA,Assets/SpriteLibrary/Characters/Guest09_MissIsoldeWren/ContactSheets/Guest09_MissIsoldeWren_central_panic_frames.png
Assets/SpriteLibrary,Guest09_MissIsoldeWren,724x678,RGBA,Assets/SpriteLibrary/Characters/Guest09_MissIsoldeWren/ContactSheets/MissIsoldeWren_reference_locked_panic_166x297_contact_sheet.png
Assets/SpriteLibrary,Guest09_MissIsoldeWren,166x297,RGBA,Assets/SpriteLibrary/Characters/Guest09_MissIsoldeWren/PanicFrames/ReferenceLockedOrGuestReference/MissIsoldeWren_reference_locked_panic_01_startled_recoil_166x297.png
Assets/SpriteLibrary,Guest09_MissIsoldeWren,166x297,RGBA,Assets/SpriteLibrary/Characters/Guest09_MissIsoldeWren/PanicFrames/ReferenceLockedOrGuestReference/MissIsoldeWren_reference_locked_panic_02_hands_near_face_166x297.png
Assets/SpriteLibrary,Guest09_MissIsoldeWren,166x297,RGBA,Assets/SpriteLibrary/Characters/Guest09_MissIsoldeWren/PanicFrames/ReferenceLockedOrGuestReference/MissIsoldeWren_reference_locked_panic_03_cover_face_cower_166x297.png
Assets/SpriteLibrary,Guest09_MissIsoldeWren,166x297,RGBA,Assets/SpriteLibrary/Characters/Guest09_MissIsoldeWren/PanicFrames/ReferenceLockedOrGuestReference/MissIsoldeWren_reference_locked_panic_04_braced_defensive_166x297.png
Assets/SpriteLibrary,Guest09_MissIsoldeWren,166x297,RGBA,Assets/SpriteLibrary/Characters/Guest09_MissIsoldeWren/PanicFrames/ReferenceLockedOrGuestReference/MissIsoldeWren_reference_locked_panic_05_run_left_166x297.png
Assets/SpriteLibrary,Guest09_MissIsoldeWren,166x297,RGBA,Assets/SpriteLibrary/Characters/Guest09_MissIsoldeWren/PanicFrames/ReferenceLockedOrGuestReference/MissIsoldeWren_reference_locked_panic_06_run_right_166x297.png
Assets/SpriteLibrary,Guest09_MissIsoldeWren,166x297,RGBA,Assets/SpriteLibrary/Characters/Guest09_MissIsoldeWren/PanicFrames/ReferenceLockedOrGuestReference/MissIsoldeWren_reference_locked_panic_07_turnaround_166x297.png
Assets/SpriteLibrary,Guest09_MissIsoldeWren,166x297,RGBA,Assets/SpriteLibrary/Characters/Guest09_MissIsoldeWren/PanicFrames/ReferenceLockedOrGuestReference/MissIsoldeWren_reference_locked_panic_08_run_start_166x297.png
Assets/SpriteLibrary,Guest10_ProfessorLucienVale,676x590,RGBA,Assets/SpriteLibrary/Characters/Guest10_ProfessorLucienVale/ContactSheets/Guest10_ProfessorLucienVale_central_panic_frames.png
Assets/SpriteLibrary,Guest10_ProfessorLucienVale,724x678,RGBA,Assets/SpriteLibrary/Characters/Guest10_ProfessorLucienVale/ContactSheets/ProfessorLucienVale_reference_locked_panic_166x297_contact_sheet.png
Assets/SpriteLibrary,Guest10_ProfessorLucienVale,166x297,RGBA,Assets/SpriteLibrary/Characters/Guest10_ProfessorLucienVale/PanicFrames/ReferenceLockedOrGuestReference/ProfessorLucienVale_reference_locked_panic_01_startled_recoil_166x297.png
Assets/SpriteLibrary,Guest10_ProfessorLucienVale,166x297,RGBA,Assets/SpriteLibrary/Characters/Guest10_ProfessorLucienVale/PanicFrames/ReferenceLockedOrGuestReference/ProfessorLucienVale_reference_locked_panic_02_hands_near_face_166x297.png
Assets/SpriteLibrary,Guest10_ProfessorLucienVale,166x297,RGBA,Assets/SpriteLibrary/Characters/Guest10_ProfessorLucienVale/PanicFrames/ReferenceLockedOrGuestReference/ProfessorLucienVale_reference_locked_panic_03_cover_face_cower_166x297.png
Assets/SpriteLibrary,Guest10_ProfessorLucienVale,166x297,RGBA,Assets/SpriteLibrary/Characters/Guest10_ProfessorLucienVale/PanicFrames/ReferenceLockedOrGuestReference/ProfessorLucienVale_reference_locked_panic_04_braced_defensive_166x297.png
Assets/SpriteLibrary,Guest10_ProfessorLucienVale,166x297,RGBA,Assets/SpriteLibrary/Characters/Guest10_ProfessorLucienVale/PanicFrames/ReferenceLockedOrGuestReference/ProfessorLucienVale_reference_locked_panic_05_run_left_166x297.png
Assets/SpriteLibrary,Guest10_ProfessorLucienVale,166x297,RGBA,Assets/SpriteLibrary/Characters/Guest10_ProfessorLucienVale/PanicFrames/ReferenceLockedOrGuestReference/ProfessorLucienVale_reference_locked_panic_06_run_right_166x297.png
Assets/SpriteLibrary,Guest10_ProfessorLucienVale,166x297,RGBA,Assets/SpriteLibrary/Characters/Guest10_ProfessorLucienVale/PanicFrames/ReferenceLockedOrGuestReference/ProfessorLucienVale_reference_locked_panic_07_turnaround_166x297.png
Assets/SpriteLibrary,Guest10_ProfessorLucienVale,166x297,RGBA,Assets/SpriteLibrary/Characters/Guest10_ProfessorLucienVale/PanicFrames/ReferenceLockedOrGuestReference/ProfessorLucienVale_reference_locked_panic_08_run_start_166x297.png
Assets/SpriteLibrary,Guest01_Lady,812x1836,RGBA,Assets/SpriteLibrary/ReviewSheets/Guest01_Lady_GeneratedSpriteLibrary_overview.png
Assets/SpriteLibrary,Guest01_Lady,812x1638,RGBA,Assets/SpriteLibrary/ReviewSheets/Guest01_Lady_ProjectReferences_overview.png
Assets/SpriteLibrary,Guest02_ButlerGuest,812x1836,RGBA,Assets/SpriteLibrary/ReviewSheets/Guest02_ButlerGuest_GeneratedSpriteLibrary_overview.png
Assets/SpriteLibrary,Guest02_ButlerGuest,812x846,RGBA,Assets/SpriteLibrary/ReviewSheets/Guest02_ButlerGuest_ProjectReferences_overview.png
Assets/SpriteLibrary,Guest03_MisterFlorianKnell,812x2232,RGBA,Assets/SpriteLibrary/ReviewSheets/Guest03_MisterFlorianKnell_GeneratedSpriteLibrary_overview.png
Assets/SpriteLibrary,Guest03_MisterFlorianKnell,812x2826,RGBA,Assets/SpriteLibrary/ReviewSheets/Guest03_MisterFlorianKnell_ProjectReferences_overview.png
Assets/SpriteLibrary,Guest04_CountessElowenDusk,812x2232,RGBA,Assets/SpriteLibrary/ReviewSheets/Guest04_CountessElowenDusk_GeneratedSpriteLibrary_overview.png
Assets/SpriteLibrary,Guest04_CountessElowenDusk,812x3618,RGBA,Assets/SpriteLibrary/ReviewSheets/Guest04_CountessElowenDusk_ProjectReferences_overview.png
Assets/SpriteLibrary,Guest05_BaronHectorGlass,812x3222,RGBA,Assets/SpriteLibrary/ReviewSheets/Guest05_BaronHectorGlass_GeneratedSpriteLibrary_overview.png
Assets/SpriteLibrary,Guest05_BaronHectorGlass,812x3024,RGBA,Assets/SpriteLibrary/ReviewSheets/Guest05_BaronHectorGlass_ProjectReferences_overview.png
Assets/SpriteLibrary,Guest01_Lady,812x3618,RGBA,Assets/SpriteLibrary/ReviewSheets/Guest06_LadySabineMarrow_GeneratedSpriteLibrary_overview.png
Assets/SpriteLibrary,Guest01_Lady,812x3618,RGBA,Assets/SpriteLibrary/ReviewSheets/Guest06_LadySabineMarrow_ProjectReferences_overview.png
Assets/SpriteLibrary,Guest07_LordAmbroseVeil,812x3618,RGBA,Assets/SpriteLibrary/ReviewSheets/Guest07_LordAmbroseVeil_GeneratedSpriteLibrary_overview.png
Assets/SpriteLibrary,Guest07_LordAmbroseVeil,812x1440,RGBA,Assets/SpriteLibrary/ReviewSheets/Guest07_LordAmbroseVeil_ProjectReferences_overview.png
Assets/SpriteLibrary,Guest08_MadameCoralieThread,812x3222,RGBA,Assets/SpriteLibrary/ReviewSheets/Guest08_MadameCoralieThread_GeneratedSpriteLibrary_overview.png
Assets/SpriteLibrary,Guest08_MadameCoralieThread,812x3816,RGBA,Assets/SpriteLibrary/ReviewSheets/Guest08_MadameCoralieThread_ProjectReferences_overview.png
Assets/SpriteLibrary,Guest09_MissIsoldeWren,812x1836,RGBA,Assets/SpriteLibrary/ReviewSheets/Guest09_MissIsoldeWren_GeneratedSpriteLibrary_overview.png
Assets/SpriteLibrary,Guest09_MissIsoldeWren,812x1836,RGBA,Assets/SpriteLibrary/ReviewSheets/Guest09_MissIsoldeWren_ProjectReferences_overview.png
Assets/SpriteLibrary,Guest10_ProfessorLucienVale,812x1836,RGBA,Assets/SpriteLibrary/ReviewSheets/Guest10_ProfessorLucienVale_GeneratedSpriteLibrary_overview.png
Assets/SpriteLibrary,Guest10_ProfessorLucienVale,812x1440,RGBA,Assets/SpriteLibrary/ReviewSheets/Guest10_ProfessorLucienVale_ProjectReferences_overview.png
Assets/GeneratedSpriteLibrary,Guest05_BaronHectorGlass,503x521,RGBA,Assets/GeneratedSpriteLibrary/BaronHectorGlass/DiningRoomChair/BaronHectorGlass_dining_room_chair_eating_01.png
Assets/GeneratedSpriteLibrary,Guest05_BaronHectorGlass,499x517,RGBA,Assets/GeneratedSpriteLibrary/BaronHectorGlass/DiningRoomChair/BaronHectorGlass_dining_room_chair_startled_01.png
Assets/GeneratedSpriteLibrary,Guest05_BaronHectorGlass,562x550,RGBA,Assets/GeneratedSpriteLibrary/BaronHectorGlass/DiningRoomChair/BaronHectorGlass_dining_room_chair_startled_02.png
